,budget,area size,environmental type,project type,soil type,material
65,675987,5992,Urban,Industrial,Sandy,Wood
66,280936,9449,Mountain,Infrastructure,Silty,Concrete
67,249931,3310,Urban,Infrastructure,Peaty,Composite
68,249629,8634,Urban,Infrastructure,Silty,Concrete
69,215041,9796,Suburban,Residential,Chalky,Concrete
70,708361,6170,Rural,Infrastructure,Loamy,Steel
71,741912,8215,Coastal,Residential,Chalky,Concrete
72,427113,7067,Coastal,Residential,Clay,Wood
73,78148,3959,Suburban,Commercial,Loamy,Wood
74,787089,6617,Suburban,Industrial,Loamy,Steel
75,658531,4492,Rural,Infrastructure,Silty,Steel
76,261995,8337,Rural,Residential,Chalky,Composite
77,916606,703,Mountain,Industrial,Chalky,Steel
78,688843,3275,Coastal,Residential,Peaty,Brick
79,920790,2492,Coastal,Industrial,Clay,Wood
80,582843,2743,Mountain,Residential,Silty,Wood
81,266508,8998,Suburban,Infrastructure,Sandy,Steel
82,813591,2187,Coastal,Commercial,Silty,Steel
83,906942,4609,Urban,Commercial,Loamy,Wood
84,116530,2360,Suburban,Commercial,Silty,Steel
85,614365,5676,Suburban,Residential,Peaty,Composite
86,832352,1222,Rural,Industrial,Silty,Steel
87,470337,9471,Mountain,Infrastructure,Peaty,Steel
88,734839,9220,Suburban,Infrastructure,Loamy,Composite
89,815889,5393,Rural,Residential,Peaty,Composite
90,469773,843,Urban,Commercial,Chalky,Composite
91,218261,5898,Urban,Residential,Sandy,Wood
92,774469,8900,Coastal,Industrial,Loamy,Steel
93,351097,5236,Mountain,Commercial,Peaty,Composite
94,325139,3906,Mountain,Residential,Clay,Composite
95,181829,1419,Rural,Industrial,Loamy,Wood
96,281836,6319,Coastal,Commercial,Clay,Brick
97,448974,2544,Mountain,Infrastructure,Sandy,Steel
98,999913,918,Coastal,Industrial,Peaty,Brick
99,212283,2249,Rural,Infrastructure,Loamy,Brick
100,206769,7878,Coastal,Industrial,Loamy,Composite
101,571353,1599,Suburban,Commercial,Sandy,Wood
102,233165,3892,Suburban,Residential,Chalky,Steel
103,633587,3272,Suburban,Residential,Clay,Steel
104,960110,7284,Suburban,Residential,Loamy,Steel
105,545822,2045,Urban,Residential,Silty,Brick
106,497879,1570,Urban,Industrial,Clay,Concrete
107,574685,7022,Mountain,Residential,Peaty,Wood
108,792038,2350,Urban,Residential,Sandy,Concrete
109,363531,5553,Coastal,Industrial,Clay,Brick
110,273160,3439,Coastal,Industrial,Silty,Composite
111,589879,7694,Urban,Commercial,Silty,Concrete
112,230884,6351,Coastal,Industrial,Sandy,Concrete
113,33247,7173,Mountain,Infrastructure,Sandy,Wood
114,34300,1178,Rural,Commercial,Clay,Brick
115,477281,1488,Urban,Commercial,Peaty,Wood
116,617086,2002,Suburban,Residential,Chalky,Composite
117,543556,2289,Coastal,Residential,Silty,Steel
118,358951,5781,Coastal,Infrastructure,Sandy,Brick
119,284329,5527,Rural,Residential,Chalky,Composite
120,729064,1925,Mountain,Industrial,Chalky,Composite
121,752139,7154,Coastal,Industrial,Chalky,Concrete
122,442315,2940,Suburban,Residential,Peaty,Wood
123,936075,7356,Rural,Residential,Sandy,Concrete
124,526588,7867,Coastal,Industrial,Silty,Concrete
125,246584,9970,Suburban,Commercial,Sandy,Steel
126,572332,3094,Coastal,Infrastructure,Clay,Wood
127,847646,5189,Suburban,Infrastructure,Silty,Steel
128,988732,2936,Rural,Commercial,Sandy,Composite
129,386896,6017,Mountain,Infrastructure,Silty,Steel
130,58984,9719,Urban,Residential,Clay,Composite
131,312918,6810,Urban,Residential,Loamy,Concrete
132,274712,4039,Mountain,Residential,Silty,Steel
133,130151,3983,Coastal,Infrastructure,Loamy,Wood
134,465808,7871,Rural,Commercial,Chalky,Steel
135,995067,2741,Suburban,Residential,Peaty,Composite
136,143767,6878,Rural,Commercial,Clay,Brick
137,658663,3265,Mountain,Industrial,Silty,Wood
138,713550,9865,Coastal,Industrial,Clay,Composite
139,146330,5411,Coastal,Industrial,Chalky,Brick
140,490754,903,Mountain,Infrastructure,Loamy,Wood
141,311648,3882,Rural,Infrastructure,Peaty,Brick
142,698519,4663,Urban,Residential,Clay,Concrete
143,23986,8130,Rural,Industrial,Loamy,Concrete
144,596146,587,Coastal,Commercial,Chalky,Steel
145,139312,9850,Coastal,Infrastructure,Chalky,Steel
146,22666,6316,Mountain,Commercial,Chalky,Steel
147,310804,5970,Rural,Commercial,Loamy,Steel
148,144633,6776,Urban,Residential,Silty,Brick
149,298998,6239,Rural,Residential,Sandy,Wood
150,860937,4773,Coastal,Commercial,Clay,Wood
151,638776,7023,Rural,Commercial,Sandy,Steel
152,717611,5503,Coastal,Commercial,Chalky,Concrete
153,294806,8538,Coastal,Commercial,Sandy,Composite
154,804824,7106,Suburban,Industrial,Loamy,Steel
155,40535,2564,Urban,Commercial,Chalky,Steel
156,385713,5815,Mountain,Infrastructure,Chalky,Concrete
157,848688,817,Urban,Residential,Peaty,Composite
158,361279,2002,Rural,Infrastructure,Peaty,Brick
159,923910,6630,Suburban,Residential,Loamy,Brick
160,831654,7919,Coastal,Residential,Loamy,Composite
161,611661,2542,Urban,Residential,Sandy,Composite
162,657972,5098,Coastal,Infrastructure,Clay,Brick
163,499570,618,Coastal,Residential,Sandy,Steel
164,466551,1209,Suburban,Commercial,Loamy,Steel
165,283109,4057,Urban,Commercial,Clay,Concrete
166,34538,3750,Suburban,Industrial,Sandy,Composite
167,904498,8561,Coastal,Industrial,Silty,Steel
168,211664,9109,Urban,Industrial,Silty,Steel
169,501234,3103,Coastal,Commercial,Clay,Concrete
170,909684,1601,Coastal,Infrastructure,Peaty,Composite
171,149182,4921,Urban,Industrial,Clay,Concrete
172,482525,8357,Mountain,Commercial,Sandy,Concrete
173,168338,8677,Suburban,Residential,Chalky,Brick
174,194064,6582,Rural,Infrastructure,Silty,Concrete
175,224020,7158,Coastal,Infrastructure,Chalky,Composite
176,633094,2761,Suburban,Commercial,Silty,Steel
177,934414,8521,Suburban,Commercial,Sandy,Steel
178,907421,1008,Urban,Residential,Silty,Brick
179,625270,2879,Urban,Residential,Clay,Composite
180,655914,9379,Urban,Residential,Chalky,Steel
181,129176,5252,Suburban,Infrastructure,Loamy,Concrete
182,927710,9984,Urban,Infrastructure,Chalky,Wood
183,228126,5995,Rural,Industrial,Sandy,Wood
184,228969,3709,Suburban,Industrial,Loamy,Wood
185,132409,7898,Urban,Industrial,Chalky,Wood
186,557707,7243,Coastal,Infrastructure,Sandy,Concrete
187,978140,6148,Suburban,Residential,Peaty,Steel
188,263618,5671,Mountain,Industrial,Clay,Brick
189,779598,8390,Mountain,Residential,Silty,Concrete
190,60015,824,Suburban,Residential,Silty,Steel
191,782838,4057,Suburban,Residential,Silty,Composite
192,132096,4087,Mountain,Industrial,Peaty,Steel
193,641347,651,Coastal,Industrial,Clay,Steel
194,195340,1454,Coastal,Residential,Chalky,Steel
195,120687,4854,Coastal,Industrial,Chalky,Concrete
196,884371,7660,Rural,Commercial,Clay,Steel
197,421357,9883,Rural,Industrial,Loamy,Steel
198,745716,1187,Coastal,Residential,Clay,Composite
199,115878,9001,Mountain,Residential,Silty,Composite
200,737270,3627,Rural,Infrastructure,Chalky,Wood
201,983548,7263,Urban,Infrastructure,Clay,Concrete
202,208286,3895,Rural,Residential,Chalky,Steel
203,783290,9505,Mountain,Commercial,Clay,Wood
204,784684,1345,Mountain,Infrastructure,Sandy,Wood
205,174899,1664,Suburban,Residential,Silty,Concrete
206,983324,6404,Mountain,Infrastructure,Clay,Wood
207,334767,5860,Coastal,Infrastructure,Peaty,Wood
208,871882,854,Mountain,Residential,Clay,Concrete
209,889858,2372,Rural,Industrial,Sandy,Brick
210,389989,2524,Rural,Commercial,Peaty,Wood
211,425515,3317,Rural,Industrial,Peaty,Composite
212,53585,4332,Mountain,Residential,Clay,Wood
213,381369,8757,Coastal,Residential,Sandy,Concrete
214,74044,3081,Coastal,Commercial,Peaty,Concrete
215,970061,9822,Suburban,Residential,Silty,Brick
216,452296,2986,Urban,Infrastructure,Loamy,Brick
217,119556,9526,Coastal,Commercial,Silty,Composite
218,536981,8918,Rural,Industrial,Chalky,Composite
219,891691,2943,Suburban,Commercial,Chalky,Wood
220,777595,9419,Coastal,Industrial,Sandy,Brick
221,210235,1536,Coastal,Residential,Peaty,Composite
222,35939,9184,Urban,Industrial,Silty,Wood
223,976429,7935,Urban,Industrial,Silty,Steel
224,970445,2048,Urban,Industrial,Loamy,Wood
225,162906,9835,Coastal,Commercial,Sandy,Composite
226,552335,5565,Coastal,Infrastructure,Peaty,Wood
227,298249,6996,Rural,Industrial,Sandy,Steel
228,85766,6683,Mountain,Commercial,Clay,Composite
229,418923,4457,Urban,Commercial,Silty,Wood
230,425192,3907,Rural,Infrastructure,Sandy,Composite
231,578550,1139,Rural,Commercial,Sandy,Wood
232,397261,672,Suburban,Residential,Loamy,Concrete
233,820208,6166,Rural,Residential,Clay,Composite
234,695440,4854,Urban,Residential,Chalky,Composite
235,662664,4459,Mountain,Infrastructure,Silty,Composite
236,994346,9208,Rural,Commercial,Loamy,Composite
237,464589,9214,Coastal,Residential,Sandy,Wood
238,147848,3386,Coastal,Industrial,Silty,Brick
239,627075,2664,Rural,Commercial,Chalky,Wood
240,137948,4445,Urban,Residential,Sandy,Steel
241,589304,5735,Mountain,Commercial,Clay,Concrete
242,412690,8246,Mountain,Residential,Silty,Wood
243,509046,3090,Urban,Industrial,Loamy,Wood
244,461269,8254,Coastal,Commercial,Clay,Composite
245,31959,5434,Coastal,Residential,Chalky,Steel
246,670890,4576,Suburban,Residential,Chalky,Composite
247,760216,5685,Rural,Industrial,Silty,Composite
248,915533,1593,Rural,Industrial,Chalky,Brick
249,800180,4380,Coastal,Residential,Peaty,Concrete
250,238576,7059,Rural,Residential,Loamy,Brick
251,547833,3285,Urban,Infrastructure,Silty,Composite
252,924091,6565,Mountain,Infrastructure,Peaty,Concrete
253,993703,7039,Suburban,Commercial,Chalky,Wood
254,175838,2074,Urban,Commercial,Silty,Steel
255,345674,6176,Urban,Infrastructure,Peaty,Brick
256,889989,8560,Urban,Residential,Chalky,Steel
257,71087,4490,Rural,Industrial,Sandy,Composite
258,603128,5710,Mountain,Commercial,Sandy,Concrete
259,128451,5345,Suburban,Residential,Clay,Wood
260,457600,9785,Coastal,Industrial,Sandy,Concrete
261,847437,1689,Urban,Industrial,Peaty,Steel
262,449792,3189,Urban,Residential,Loamy,Steel
263,49353,4595,Urban,Residential,Sandy,Wood
264,203075,2375,Coastal,Commercial,Silty,Wood
265,224283,8268,Rural,Infrastructure,Silty,Concrete
266,324877,3906,Rural,Residential,Silty,Brick
267,75318,4432,Mountain,Infrastructure,Sandy,Concrete
268,775313,8740,Rural,Commercial,Sandy,Steel
269,492690,5908,Rural,Infrastructure,Clay,Concrete
270,426880,4361,Suburban,Infrastructure,Loamy,Composite
271,601460,7906,Suburban,Industrial,Loamy,Concrete
272,750976,3333,Rural,Commercial,Chalky,Concrete
273,791239,5785,Suburban,Residential,Clay,Composite
274,103264,8145,Mountain,Infrastructure,Peaty,Steel
275,780746,9523,Rural,Commercial,Silty,Wood
276,823168,5277,Suburban,Industrial,Sandy,Concrete
277,235281,3235,Coastal,Industrial,Chalky,Brick
278,647147,8773,Suburban,Infrastructure,Chalky,Wood
279,908613,8778,Suburban,Infrastructure,Sandy,Brick
280,404070,6868,Coastal,Residential,Clay,Concrete
281,362228,1321,Mountain,Commercial,Chalky,Brick
282,441839,8025,Coastal,Residential,Loamy,Wood
283,279536,662,Mountain,Residential,Clay,Brick
284,327824,8277,Coastal,Industrial,Sandy,Brick
285,267426,2432,Mountain,Commercial,Clay,Wood
286,187789,4035,Mountain,Residential,Loamy,Wood
287,523153,6456,Urban,Industrial,Silty,Wood
288,752452,3946,Urban,Infrastructure,Sandy,Wood
289,847291,3290,Suburban,Residential,Loamy,Composite
290,135657,3207,Coastal,Infrastructure,Sandy,Concrete
291,245167,8459,Mountain,Commercial,Loamy,Wood
292,691669,4433,Urban,Residential,Loamy,Steel
293,490671,3885,Suburban,Infrastructure,Chalky,Brick
294,729094,7136,Suburban,Infrastructure,Chalky,Wood
295,80467,1422,Suburban,Commercial,Chalky,Wood
296,193734,8589,Urban,Industrial,Silty,Concrete
297,632794,1064,Rural,Industrial,Silty,Wood
298,119751,3758,Suburban,Residential,Loamy,Composite
299,391050,3000,Rural,Infrastructure,Peaty,Steel
300,940192,5066,Rural,Industrial,Sandy,Steel
301,821774,9679,Rural,Residential,Chalky,Wood
302,702517,7381,Suburban,Infrastructure,Sandy,Concrete
303,471079,4136,Mountain,Residential,Loamy,Wood
304,378452,6530,Rural,Commercial,Clay,Brick
305,979587,723,Urban,Residential,Loamy,Steel
306,116081,6797,Urban,Commercial,Silty,Brick
307,993237,850,Rural,Infrastructure,Peaty,Composite
308,623333,7814,Rural,Infrastructure,Clay,Steel
309,568986,2428,Rural,Infrastructure,Sandy,Steel
310,120078,8243,Urban,Residential,Silty,Composite
311,877055,9040,Coastal,Infrastructure,Chalky,Brick
312,32671,5232,Mountain,Infrastructure,Clay,Wood
313,428400,1517,Coastal,Commercial,Silty,Concrete
314,365528,2726,Urban,Infrastructure,Sandy,Brick
315,969611,7706,Urban,Infrastructure,Loamy,Composite
316,620490,7670,Suburban,Infrastructure,Sandy,Composite
317,61663,6707,Coastal,Industrial,Clay,Composite
318,25708,2919,Rural,Infrastructure,Clay,Steel
319,888338,6740,Rural,Residential,Loamy,Wood
320,321955,2393,Urban,Commercial,Clay,Steel
321,143883,5822,Suburban,Infrastructure,Peaty,Steel
322,328394,8218,Coastal,Residential,Chalky,Steel
323,122547,7378,Suburban,Commercial,Silty,Composite
324,999586,1625,Mountain,Commercial,Loamy,Brick
325,920681,3617,Suburban,Residential,Sandy,Concrete
326,569042,4661,Mountain,Residential,Sandy,Concrete
327,761102,4542,Coastal,Industrial,Chalky,Wood
328,772002,4933,Rural,Industrial,Clay,Wood
329,152483,9138,Mountain,Infrastructure,Clay,Composite
330,668271,3158,Rural,Industrial,Sandy,Concrete
331,994774,3983,Suburban,Residential,Chalky,Brick
332,224835,3444,Suburban,Industrial,Sandy,Composite
333,411896,7710,Coastal,Commercial,Clay,Wood
334,94896,8153,Rural,Residential,Loamy,Composite
335,487095,9287,Coastal,Infrastructure,Silty,Wood
336,81295,2486,Mountain,Commercial,Clay,Concrete
337,753974,1574,Suburban,Commercial,Loamy,Composite
338,897121,4805,Suburban,Commercial,Silty,Steel
339,283255,3507,Suburban,Residential,Peaty,Wood
340,309648,1469,Suburban,Residential,Chalky,Steel
341,667162,9272,Suburban,Infrastructure,Loamy,Wood
342,18155,3324,Mountain,Industrial,Peaty,Steel
343,476872,1711,Mountain,Industrial,Clay,Concrete
344,835816,729,Coastal,Industrial,Chalky,Concrete
345,384705,4784,Urban,Industrial,Loamy,Brick
346,581542,3685,Suburban,Commercial,Clay,Brick
347,818350,1001,Suburban,Residential,Chalky,Brick
348,620269,548,Urban,Industrial,Chalky,Composite
349,988217,4066,Coastal,Commercial,Clay,Wood
350,564594,3555,Mountain,Residential,Clay,Composite
351,157718,9380,Suburban,Residential,Loamy,Brick
352,318987,886,Coastal,Residential,Chalky,Wood
353,655263,1469,Urban,Commercial,Loamy,Composite
354,368745,9697,Mountain,Industrial,Chalky,Concrete
355,117512,6320,Mountain,Residential,Loamy,Wood
356,157443,3552,Coastal,Commercial,Clay,Brick
357,480587,7897,Rural,Residential,Clay,Concrete
358,383616,2802,Rural,Infrastructure,Sandy,Wood
359,667409,2783,Rural,Infrastructure,Loamy,Composite
360,696976,4866,Urban,Commercial,Sandy,Brick
361,375871,622,Rural,Industrial,Sandy,Composite
362,385037,7299,Coastal,Industrial,Peaty,Concrete
363,817364,9972,Mountain,Residential,Chalky,Concrete
364,127796,4227,Coastal,Industrial,Silty,Concrete
365,301999,8950,Coastal,Industrial,Peaty,Wood
366,202506,9639,Suburban,Infrastructure,Chalky,Brick
367,708376,5458,Urban,Commercial,Silty,Concrete
368,279544,1024,Mountain,Infrastructure,Sandy,Composite
369,390002,9579,Suburban,Commercial,Silty,Brick
370,708002,8899,Urban,Residential,Clay,Composite
371,549439,648,Mountain,Infrastructure,Clay,Composite
372,978911,8501,Suburban,Commercial,Loamy,Concrete
373,600978,937,Rural,Industrial,Chalky,Brick
374,538787,4249,Coastal,Commercial,Peaty,Steel
375,540583,8686,Rural,Industrial,Sandy,Wood
376,917317,4953,Mountain,Residential,Chalky,Steel
377,398215,5836,Suburban,Industrial,Sandy,Wood
378,331184,5051,Suburban,Commercial,Clay,Brick
379,808615,3323,Suburban,Infrastructure,Peaty,Concrete
380,432515,6228,Coastal,Commercial,Peaty,Brick
381,678234,9177,Suburban,Infrastructure,Clay,Steel
382,388480,8891,Urban,Commercial,Silty,Composite
383,42711,2482,Urban,Commercial,Peaty,Wood
384,801971,7496,Urban,Residential,Silty,Wood
385,511157,2811,Rural,Industrial,Sandy,Steel
386,194423,7725,Mountain,Commercial,Peaty,Concrete
387,988771,1104,Rural,Infrastructure,Loamy,Brick
388,526349,8675,Rural,Industrial,Clay,Steel
389,713714,6285,Coastal,Residential,Silty,Brick
390,922495,5097,Rural,Industrial,Loamy,Concrete
391,667917,8259,Coastal,Commercial,Sandy,Composite
392,834792,8032,Urban,Infrastructure,Sandy,Brick
393,747378,9240,Urban,Infrastructure,Peaty,Concrete
394,143272,1338,Rural,Industrial,Peaty,Steel
395,777836,4315,Rural,Infrastructure,Loamy,Composite
396,996001,1347,Urban,Commercial,Chalky,Composite
397,712335,5209,Suburban,Infrastructure,Chalky,Composite
398,817789,5007,Urban,Infrastructure,Peaty,Wood
399,653409,7075,Suburban,Infrastructure,Chalky,Concrete
400,87505,5273,Urban,Commercial,Clay,Brick
401,12869,4968,Mountain,Residential,Loamy,Steel
402,791474,5692,Coastal,Infrastructure,Clay,Composite
403,464351,3820,Coastal,Residential,Chalky,Composite
404,322252,5198,Mountain,Industrial,Peaty,Composite
405,646584,4811,Suburban,Industrial,Clay,Concrete
406,628467,4173,Rural,Commercial,Sandy,Steel
407,100272,2064,Rural,Commercial,Peaty,Concrete
408,48467,2340,Coastal,Commercial,Loamy,Steel
409,819760,6558,Rural,Commercial,Silty,Brick
410,887844,7631,Suburban,Residential,Silty,Wood
411,490047,1226,Rural,Commercial,Peaty,Steel
412,669347,9936,Urban,Residential,Chalky,Concrete
413,68871,7197,Mountain,Infrastructure,Clay,Concrete
414,949903,9757,Coastal,Infrastructure,Clay,Concrete
415,138391,782,Rural,Industrial,Peaty,Wood
416,449430,1581,Suburban,Industrial,Sandy,Steel
417,620704,4385,Rural,Residential,Loamy,Steel
418,866703,3381,Mountain,Commercial,Chalky,Steel
419,840496,3470,Urban,Industrial,Sandy,Steel
420,266687,9844,Coastal,Residential,Peaty,Composite
421,735451,7485,Coastal,Industrial,Peaty,Composite
422,117450,1447,Suburban,Commercial,Sandy,Concrete
423,181890,5260,Urban,Residential,Silty,Composite
424,448741,566,Rural,Industrial,Peaty,Steel
425,291974,9328,Rural,Commercial,Loamy,Steel
426,944933,9005,Suburban,Residential,Chalky,Composite
427,410109,1064,Urban,Residential,Sandy,Brick
428,126381,9517,Suburban,Residential,Silty,Concrete
429,483125,4170,Mountain,Infrastructure,Sandy,Wood
430,581621,9717,Mountain,Residential,Silty,Concrete
431,144508,2751,Rural,Industrial,Silty,Concrete
432,739650,1304,Mountain,Residential,Loamy,Concrete
433,872645,5131,Suburban,Residential,Chalky,Composite
434,409111,1735,Coastal,Residential,Peaty,Concrete
435,160810,7220,Mountain,Residential,Silty,Steel
436,302890,7406,Suburban,Residential,Peaty,Concrete
437,583665,6516,Coastal,Infrastructure,Chalky,Steel
438,975908,4049,Coastal,Commercial,Peaty,Composite
439,850477,8438,Mountain,Infrastructure,Loamy,Composite
440,370032,4641,Urban,Industrial,Loamy,Concrete
441,967294,7466,Mountain,Commercial,Clay,Steel
442,379599,5835,Mountain,Industrial,Loamy,Steel
443,670960,5577,Urban,Residential,Silty,Steel
444,760020,6111,Mountain,Industrial,Chalky,Steel
445,889611,8589,Suburban,Infrastructure,Loamy,Wood
446,181836,3392,Urban,Infrastructure,Sandy,Composite
447,739903,6077,Suburban,Residential,Chalky,Steel
448,55714,4118,Coastal,Residential,Silty,Wood
449,984339,2059,Urban,Commercial,Chalky,Wood
450,637234,7183,Coastal,Infrastructure,Loamy,Composite
451,906048,2007,Rural,Infrastructure,Sandy,Brick
452,640271,2563,Rural,Commercial,Clay,Concrete
453,476960,4142,Suburban,Infrastructure,Silty,Composite
454,721851,2500,Coastal,Commercial,Silty,Brick
455,134123,1794,Coastal,Infrastructure,Chalky,Concrete
456,946093,4565,Urban,Industrial,Peaty,Concrete
457,315628,8514,Rural,Industrial,Peaty,Concrete
458,92989,2103,Suburban,Commercial,Sandy,Wood
459,308356,1822,Suburban,Commercial,Clay,Steel
460,839957,6456,Urban,Residential,Clay,Concrete
461,188274,2941,Urban,Infrastructure,Chalky,Steel
462,697995,1598,Suburban,Industrial,Chalky,Concrete
463,335352,5573,Urban,Residential,Peaty,Wood
464,830260,9818,Coastal,Infrastructure,Loamy,Concrete
465,421927,8988,Suburban,Industrial,Clay,Composite
466,799852,4287,Mountain,Infrastructure,Loamy,Brick
467,893184,2596,Rural,Commercial,Clay,Concrete
468,141373,2708,Rural,Industrial,Loamy,Brick
469,448452,6488,Mountain,Industrial,Loamy,Brick
470,125294,675,Mountain,Residential,Clay,Wood
471,469451,7669,Coastal,Infrastructure,Sandy,Brick
472,981744,6514,Suburban,Commercial,Sandy,Wood
473,658307,2167,Urban,Commercial,Chalky,Concrete
474,75726,9367,Rural,Infrastructure,Loamy,Steel
475,151564,2323,Mountain,Infrastructure,Loamy,Wood
476,387812,5647,Suburban,Commercial,Loamy,Brick
477,278246,1856,Urban,Infrastructure,Loamy,Brick
478,715696,3572,Rural,Residential,Loamy,Concrete
479,128015,3759,Suburban,Infrastructure,Peaty,Wood
480,750674,6699,Rural,Residential,Silty,Concrete
481,264079,1046,Coastal,Residential,Loamy,Wood
482,560929,5731,Rural,Infrastructure,Peaty,Steel
483,699944,8465,Coastal,Industrial,Sandy,Composite
484,698105,2583,Coastal,Industrial,Loamy,Concrete
485,523758,2540,Coastal,Residential,Sandy,Brick
486,950597,5034,Urban,Infrastructure,Chalky,Concrete
487,993609,2252,Urban,Residential,Silty,Wood
488,375890,2349,Coastal,Infrastructure,Clay,Concrete
489,455101,3142,Suburban,Infrastructure,Silty,Steel
490,46631,2100,Coastal,Commercial,Loamy,Wood
491,776577,4902,Suburban,Industrial,Loamy,Brick
492,82991,4299,Rural,Industrial,Silty,Brick
493,14014,1118,Urban,Commercial,Silty,Wood
494,283237,1632,Suburban,Commercial,Chalky,Steel
495,28070,5991,Suburban,Commercial,Sandy,Concrete
496,832209,6295,Suburban,Residential,Clay,Composite
497,66958,8133,Mountain,Residential,Silty,Brick
498,92074,1987,Urban,Residential,Clay,Steel
499,545017,8348,Mountain,Residential,Silty,Steel
500,765073,5509,Rural,Residential,Sandy,Steel
501,186089,2613,Suburban,Industrial,Clay,Concrete
502,207392,1544,Urban,Industrial,Peaty,Steel
503,168823,2931,Urban,Infrastructure,Sandy,Steel
504,640152,8479,Urban,Industrial,Clay,Wood
505,403002,2082,Suburban,Commercial,Silty,Wood
506,743429,1808,Coastal,Industrial,Silty,Steel
507,508863,5417,Coastal,Commercial,Sandy,Steel
508,377654,9293,Coastal,Industrial,Sandy,Wood
509,589036,2120,Mountain,Residential,Silty,Concrete
510,540089,8003,Suburban,Industrial,Clay,Wood
511,160262,5266,Rural,Infrastructure,Peaty,Wood
512,452905,5862,Mountain,Residential,Chalky,Wood
513,245362,5692,Urban,Residential,Sandy,Wood
514,454209,7122,Coastal,Infrastructure,Silty,Composite
515,563880,6593,Urban,Industrial,Clay,Brick
516,807079,7204,Mountain,Industrial,Sandy,Concrete
517,674076,600,Coastal,Infrastructure,Clay,Concrete
518,229963,7157,Suburban,Residential,Sandy,Steel
519,490761,6375,Coastal,Infrastructure,Silty,Composite
520,258710,4771,Coastal,Commercial,Clay,Steel
521,230984,737,Coastal,Commercial,Silty,Concrete
522,907059,7726,Mountain,Industrial,Clay,Concrete
523,866748,8532,Coastal,Residential,Sandy,Steel
