budget,area size,soil type,project type,strength,material,suppliers,environmental type,labor cost,duration (days),risk factor,energy rating,maintenance cost,permit cost,insurance cost,warranty period (years),site accessibility,design complexity
909159,4516,Peaty,Commercial,88.78062583325813,Composite,3,Urban,3639,83,0.4481440761704243,C,18214,2928,20947,9,Moderate,Simple
922756,4375,Peaty,Residential,46.434322764613654,Wood,220,Mountain,12555,235,0.8948660215431652,C,12877,3341,12992,1,Easy,Moderate
185203,5997,Loamy,Residential,34.825628176184274,Brick,5,Coastal,4092,682,0.0378681400606371,B,9272,3749,20693,1,Moderate,Moderate
201335,6738,Clay,Infrastructure,37.38626726633556,Steel,194,Suburban,22843,222,0.7859000963697246,D,9228,2702,12687,8,Moderate,Complex
288167,761,Peaty,Industrial,39.70637135460929,Concrete,54,Mountain,35363,58,0.035202497795645105,D,14089,660,21539,1,Easy,Complex
51090,5492,Clay,Infrastructure,55.590758621414025,Steel,422,Coastal,38737,700,0.8649961381596686,A,16275,1775,2513,6,Moderate,Complex
339365,4525,Clay,Commercial,41.849408013742405,Concrete,464,Coastal,9945,297,0.17677893452943116,B,14636,1369,24043,3,Difficult,Complex
74820,8783,Loamy,Commercial,68.24857123343688,Composite,300,Coastal,42405,98,0.03828214783440809,D,7335,2187,14890,6,Difficult,Moderate
797201,4722,Clay,Industrial,48.2661106374638,Wood,209,Rural,48482,61,0.308786227658028,E,17075,607,2467,8,Easy,Complex
331879,4675,Clay,Industrial,70.44793387144362,Steel,76,Rural,38258,295,0.1787382879657976,C,11341,3007,2730,1,Difficult,Moderate
728315,9674,Sandy,Industrial,64.39837765164418,Composite,218,Mountain,37429,162,0.6518261296918547,E,2166,1755,7182,1,Difficult,Moderate
337069,3943,Silty,Infrastructure,32.000857518633524,Concrete,441,Coastal,39243,312,0.47236232382104837,C,8811,4195,19397,6,Easy,Moderate
786997,5511,Clay,Industrial,83.14959590650794,Steel,497,Mountain,1642,196,0.1297426612099739,B,11220,4327,13866,8,Easy,Complex
209041,1193,Silty,Industrial,81.90833209956311,Steel,118,Urban,28064,45,0.9161373513798089,D,14226,4287,18689,4,Difficult,Complex
801743,8847,Clay,Infrastructure,99.00824203147378,Steel,455,Mountain,21693,279,0.3677943463765001,C,13382,3725,1457,8,Difficult,Simple
113355,2312,Silty,Commercial,25.754512099011077,Steel,280,Suburban,21607,492,0.2828413116929104,B,15136,2368,16684,3,Difficult,Simple
245796,6224,Peaty,Commercial,86.30543973463169,Steel,80,Coastal,19026,643,0.6980549871811301,E,19995,3028,9973,6,Easy,Complex
224176,1907,Peaty,Residential,88.47828302883536,Composite,466,Mountain,14764,666,0.39350065166784953,C,7529,1401,20592,4,Difficult,Simple
194779,8532,Silty,Commercial,67.79477499421333,Concrete,187,Rural,46761,612,0.14550431618967086,D,17683,4263,17101,8,Easy,Complex
357449,9908,Clay,Industrial,55.57463000044214,Concrete,8,Suburban,12581,239,0.5823761418910434,E,11169,1707,14954,6,Difficult,Complex
431909,1910,Sandy,Commercial,96.153360055213,Brick,91,Mountain,44064,528,0.030361718064413568,B,8688,4266,19122,3,Easy,Complex
999436,3997,Silty,Infrastructure,97.54227350886964,Wood,346,Mountain,38249,624,0.6271758705139531,E,12260,2539,14762,6,Difficult,Moderate
268795,4872,Chalky,Commercial,67.7527710707981,Steel,351,Mountain,21324,238,0.8675541933148394,C,12983,4725,11341,5,Moderate,Simple
496232,7894,Sandy,Commercial,42.36038721317462,Concrete,210,Rural,6906,555,0.26201702499989044,A,11541,2207,18583,9,Moderate,Complex
927040,1051,Chalky,Residential,83.54486651193496,Wood,258,Mountain,14628,326,0.8523199860985896,A,2662,4652,2829,2,Easy,Complex
510186,9868,Silty,Residential,18.032992049343065,Wood,41,Urban,3564,615,0.2450396223041278,D,4814,544,22286,8,Moderate,Simple
166730,4832,Clay,Industrial,36.15360796268078,Composite,215,Urban,49793,502,0.20246115241936957,B,13000,839,13712,2,Difficult,Complex
880910,1497,Chalky,Infrastructure,98.69988652955652,Steel,184,Urban,4090,710,0.7153847270084613,D,4812,642,19986,1,Moderate,Moderate
394681,4576,Silty,Industrial,83.29000484862725,Brick,304,Mountain,10246,201,0.06550917341147622,C,17099,4658,2900,5,Difficult,Complex
159503,6599,Sandy,Infrastructure,94.56242244122114,Wood,241,Suburban,29626,301,0.04063498365114815,B,8373,3924,2997,9,Difficult,Complex
664811,6055,Clay,Infrastructure,63.531511424718126,Composite,106,Rural,2514,155,0.45598349047162257,A,9018,1291,22570,9,Easy,Simple
537035,4552,Chalky,Residential,46.690521233330436,Steel,22,Urban,46995,565,0.034093210319808165,E,7998,301,17173,7,Easy,Moderate
658143,5803,Silty,Commercial,98.17210930519342,Concrete,353,Urban,49786,306,0.4966788906208607,E,13407,1579,20433,8,Difficult,Moderate
462366,8618,Clay,Commercial,37.84830272714393,Brick,245,Suburban,8017,534,0.6494280649025883,C,8390,3772,5111,6,Difficult,Simple
75725,6602,Clay,Residential,78.1672851018031,Steel,274,Urban,19256,511,0.2282109571763995,C,15609,3847,16000,2,Easy,Simple
139981,5990,Peaty,Industrial,60.23862621101874,Composite,79,Rural,42378,676,0.8988730769309963,B,11951,4201,16659,8,Difficult,Complex
94654,9064,Clay,Commercial,30.565643096301883,Composite,425,Suburban,17217,441,0.2002786237299945,A,10396,1658,16481,4,Difficult,Simple
963277,6116,Silty,Industrial,11.57349586676884,Composite,323,Coastal,39260,464,0.237496199082868,E,4675,4807,12647,3,Easy,Simple
915778,2748,Sandy,Commercial,44.53876814536751,Composite,304,Rural,20068,192,0.9130606395125789,B,14406,3104,24792,2,Difficult,Simple
601723,1348,Loamy,Industrial,59.29168535895778,Composite,378,Rural,16687,295,0.6875418662972714,B,4589,954,6146,9,Difficult,Moderate
329030,6854,Peaty,Infrastructure,26.487136085811997,Brick,23,Mountain,8015,707,0.5286363101881258,B,3605,728,15293,4,Moderate,Complex
338947,9195,Silty,Infrastructure,47.309939727510404,Wood,111,Coastal,48640,347,0.3301538920157552,D,3301,1415,2079,1,Moderate,Complex
565839,8570,Silty,Commercial,65.36709375930639,Wood,130,Coastal,16084,127,0.7690797231107925,B,18360,1465,24466,2,Moderate,Complex
912648,9394,Silty,Industrial,74.3430813779012,Concrete,362,Suburban,39540,629,0.5883389337522971,B,6759,2490,9890,4,Easy,Simple
283538,4125,Chalky,Industrial,14.746827691588365,Wood,260,Urban,2321,149,0.34192763610039734,B,15615,940,13242,8,Moderate,Moderate
341236,814,Chalky,Infrastructure,69.77627396221247,Composite,154,Coastal,20598,591,0.8259729846793964,B,1560,2432,13111,5,Difficult,Complex
538178,2876,Sandy,Industrial,15.100057798994788,Wood,19,Suburban,12798,70,0.7945840150052467,D,6586,3617,24901,3,Difficult,Moderate
575894,9732,Silty,Residential,12.53669458234094,Wood,49,Coastal,49923,76,0.9408580995750865,C,15573,4616,16943,2,Difficult,Moderate
499492,4878,Chalky,Industrial,23.717082331945516,Composite,74,Rural,25844,518,0.99487592008128,D,18968,1288,4165,4,Moderate,Complex
266840,8949,Chalky,Infrastructure,68.82796514904089,Brick,214,Coastal,39059,711,0.011531750147417696,B,17788,3460,4511,2,Difficult,Moderate
483254,1074,Chalky,Residential,14.7539298596011,Composite,53,Urban,10677,545,0.3201209715039909,C,14312,1877,19354,8,Easy,Moderate
359457,6085,Sandy,Residential,11.880659098501672,Wood,390,Suburban,24475,542,0.19264707890958366,D,4543,403,3844,7,Difficult,Complex
675987,5992,Sandy,Industrial,20.61635602127985,Wood,190,Urban,38154,296,0.2136063466050705,A,19583,1098,18293,4,Difficult,Simple
280936,9449,Silty,Infrastructure,95.47488916395139,Concrete,129,Mountain,38098,141,0.8648158445001727,A,4188,1203,1739,9,Difficult,Complex
249931,3310,Peaty,Infrastructure,91.65499749344949,Composite,491,Urban,14730,40,0.9749299888328719,B,11126,1143,1867,6,Easy,Simple
249629,8634,Silty,Infrastructure,17.781937758968862,Concrete,144,Urban,46361,43,0.9400680476266068,B,3195,173,24014,8,Difficult,Simple
215041,9796,Chalky,Residential,37.361186516490676,Concrete,248,Suburban,31183,632,0.6964710235548248,E,15230,107,14451,4,Difficult,Simple
708361,6170,Loamy,Infrastructure,95.256319514254,Steel,180,Rural,5182,510,0.554957315877388,A,16965,2039,10996,6,Difficult,Complex
741912,8215,Chalky,Residential,18.79189061108511,Concrete,7,Coastal,28431,372,0.6380018661954183,C,5181,3824,12403,6,Difficult,Moderate
427113,7067,Clay,Residential,18.51363837829308,Wood,344,Coastal,39220,102,0.8556786496925576,C,15746,1520,20209,5,Easy,Complex
78148,3959,Loamy,Commercial,17.740350796125604,Wood,291,Suburban,34477,687,0.007035259638812574,E,15871,1356,2195,4,Moderate,Complex
787089,6617,Loamy,Industrial,97.88286151888083,Steel,206,Suburban,18116,90,0.42825539687738,A,15336,3074,10914,5,Easy,Moderate
658531,4492,Silty,Infrastructure,76.87976619541892,Steel,68,Rural,30993,309,0.5065716599757425,D,18127,1906,19823,8,Moderate,Moderate
261995,8337,Chalky,Residential,29.30359306233686,Composite,361,Rural,45174,56,0.9234612176357258,D,14454,2482,17023,5,Easy,Complex
916606,703,Chalky,Industrial,14.135253516685266,Steel,143,Mountain,49187,320,0.17207599199584567,C,7190,1861,14988,2,Moderate,Simple
688843,3275,Peaty,Residential,96.871735802038,Brick,108,Coastal,19208,51,0.7443560941929757,D,8535,146,1682,3,Easy,Moderate
920790,2492,Clay,Industrial,48.2940137583722,Wood,185,Coastal,43919,552,0.9240140217089986,B,13165,4705,1856,3,Difficult,Simple
582843,2743,Silty,Residential,63.85378494654771,Wood,240,Mountain,5512,665,0.7640146726838946,B,14013,3207,6383,1,Easy,Simple
266508,8998,Sandy,Infrastructure,35.12766101483129,Steel,151,Suburban,45184,665,0.010288624296051596,E,8924,3011,10794,5,Easy,Simple
813591,2187,Silty,Commercial,78.25242900618393,Steel,211,Coastal,14565,484,0.6594457366873018,D,3911,1378,1423,4,Moderate,Complex
906942,4609,Loamy,Commercial,27.712211130461483,Wood,78,Urban,32642,215,0.20953129212727273,E,7239,3127,4145,1,Difficult,Moderate
116530,2360,Silty,Commercial,80.8220740037963,Steel,475,Suburban,47007,514,0.605125870754873,A,11540,2940,15830,4,Difficult,Moderate
614365,5676,Peaty,Residential,30.75427390015312,Composite,228,Suburban,23266,639,0.5711613768134053,D,11199,3224,10005,4,Difficult,Simple
832352,1222,Silty,Industrial,18.812100311572912,Steel,247,Rural,27991,105,0.9570464376089125,C,19563,1209,4538,3,Easy,Moderate
470337,9471,Peaty,Infrastructure,53.094029907772324,Steel,381,Mountain,4096,161,0.19028832383446448,C,4099,4390,11331,7,Moderate,Complex
734839,9220,Loamy,Infrastructure,83.18951262060857,Composite,102,Suburban,31852,522,0.05050804677222731,A,19297,2060,8569,7,Difficult,Simple
815889,5393,Peaty,Residential,44.63782268159523,Composite,214,Rural,20698,223,0.6112765830661566,B,6460,1804,24249,1,Easy,Simple
469773,843,Chalky,Commercial,12.598628560235205,Composite,139,Urban,31781,396,0.34393665515917093,B,12801,4775,12335,7,Difficult,Moderate
218261,5898,Sandy,Residential,59.797874106843736,Wood,388,Urban,47695,350,0.7502144641953171,B,16912,2101,7888,1,Moderate,Complex
774469,8900,Loamy,Industrial,71.24242500311749,Steel,186,Coastal,9643,175,0.9932148550117847,D,7297,267,1231,9,Moderate,Simple
351097,5236,Peaty,Commercial,76.6625450802406,Composite,480,Mountain,18485,383,0.40136503697796655,E,16860,3576,3183,6,Difficult,Complex
325139,3906,Clay,Residential,46.173245887835556,Composite,168,Mountain,35920,528,0.1518487465211973,A,16816,4546,17570,7,Moderate,Complex
181829,1419,Loamy,Industrial,18.73176683431605,Wood,489,Rural,11915,394,0.5541135525872803,D,8111,1989,11275,3,Moderate,Moderate
281836,6319,Clay,Commercial,62.58937910170477,Brick,58,Coastal,49507,325,0.3461765708407055,C,6470,2292,21319,7,Moderate,Complex
448974,2544,Sandy,Infrastructure,39.65930967143636,Steel,119,Mountain,29513,197,0.7946801909825117,E,3112,3544,15356,9,Moderate,Complex
999913,918,Peaty,Industrial,95.21987340473677,Brick,88,Coastal,19825,208,0.5343415480089495,E,11221,3927,15594,2,Moderate,Complex
212283,2249,Loamy,Infrastructure,55.244089725519494,Brick,122,Rural,18522,262,0.9081854388824014,D,11069,3005,13887,5,Difficult,Complex
206769,7878,Loamy,Industrial,52.50394421190808,Composite,482,Coastal,48848,422,0.8381716839423667,C,19490,2492,7866,3,Moderate,Moderate
571353,1599,Sandy,Commercial,37.82885790865211,Wood,244,Suburban,9789,692,0.9141167568543487,E,9112,615,5662,2,Easy,Complex
233165,3892,Chalky,Residential,40.490785484519314,Steel,67,Suburban,14851,682,0.2990543601028266,D,13299,2207,15613,9,Easy,Simple
633587,3272,Clay,Residential,56.147930567192084,Steel,294,Suburban,37911,286,0.902763902645518,C,10674,2911,12888,2,Easy,Simple
960110,7284,Loamy,Residential,37.59983157834953,Steel,130,Suburban,29859,361,0.8664297143957629,D,11637,4159,12774,2,Moderate,Moderate
545822,2045,Silty,Residential,90.3074395931571,Brick,343,Urban,16344,167,0.6270099843115882,C,2525,3593,17204,3,Difficult,Complex
497879,1570,Clay,Industrial,49.51161391861978,Concrete,40,Urban,39462,440,0.9104393046400154,A,6000,3109,9587,6,Moderate,Complex
574685,7022,Peaty,Residential,36.28198756117219,Wood,212,Mountain,28698,432,0.05423708877390121,B,17655,550,19887,6,Moderate,Complex
792038,2350,Sandy,Residential,23.985535018703445,Concrete,56,Urban,36041,253,0.7856295828211107,D,1196,4864,18928,7,Easy,Moderate
363531,5553,Clay,Industrial,70.51156536703223,Brick,200,Coastal,12631,51,0.14551144121516268,D,6674,1737,13883,2,Moderate,Moderate
273160,3439,Silty,Industrial,12.320824895702565,Composite,291,Coastal,26499,630,0.3409068233350925,D,16468,2922,23990,1,Difficult,Complex
589879,7694,Silty,Commercial,50.499620845294636,Concrete,305,Urban,31453,616,0.7295838617400087,D,7465,1528,16299,2,Easy,Moderate
230884,6351,Sandy,Industrial,59.51096383305015,Concrete,107,Coastal,43189,631,0.20968392750058518,A,19100,4401,18943,9,Easy,Moderate
33247,7173,Sandy,Infrastructure,40.58061497922985,Wood,195,Mountain,5723,301,0.23120475105483573,B,7676,4311,8551,2,Difficult,Complex
34300,1178,Clay,Commercial,77.48359725475052,Brick,352,Rural,12008,698,0.21204708471424327,B,15011,2191,22039,7,Moderate,Complex
477281,1488,Peaty,Commercial,70.80944471541449,Wood,122,Urban,12262,187,0.45623842434490025,E,4362,1338,8596,1,Easy,Complex
617086,2002,Chalky,Residential,97.42590888129655,Composite,95,Suburban,26576,424,0.08098502227615545,A,18374,3735,2285,9,Difficult,Simple
543556,2289,Silty,Residential,55.789011936071375,Steel,428,Coastal,8566,94,0.8865219386407357,B,3000,2758,2983,6,Easy,Moderate
358951,5781,Sandy,Infrastructure,58.403112816644466,Brick,494,Coastal,10432,35,0.7297246555801451,B,1832,4800,21054,9,Moderate,Simple
284329,5527,Chalky,Residential,32.125538727443995,Composite,287,Rural,16402,618,0.5135101833908124,C,13158,3990,19717,9,Easy,Simple
729064,1925,Chalky,Industrial,44.69355016576485,Composite,125,Mountain,9647,120,0.084210026662763,C,1331,4090,16770,6,Moderate,Simple
752139,7154,Chalky,Industrial,12.417453204247357,Concrete,449,Coastal,29262,520,0.12432781014846539,A,13254,881,13513,6,Difficult,Complex
442315,2940,Peaty,Residential,72.03473097379205,Wood,332,Suburban,16228,320,0.09846762859084013,A,7713,4978,17057,3,Difficult,Complex
936075,7356,Sandy,Residential,38.0460519715186,Concrete,126,Rural,49421,669,0.014749423834616304,B,16645,3297,2801,8,Difficult,Complex
526588,7867,Silty,Industrial,58.63303087000281,Concrete,402,Coastal,21478,146,0.6670911710261993,C,1623,4358,9648,1,Easy,Complex
246584,9970,Sandy,Commercial,32.949315676985414,Steel,344,Suburban,35534,254,0.5101497549040568,C,16746,110,15919,6,Moderate,Complex
572332,3094,Clay,Infrastructure,65.89325803056929,Wood,36,Coastal,27098,344,0.38206405942159294,B,3724,3541,20017,8,Moderate,Moderate
847646,5189,Silty,Infrastructure,50.282424365863996,Steel,446,Suburban,11477,413,0.34753359012238094,B,12247,3576,24043,9,Moderate,Moderate
988732,2936,Sandy,Commercial,53.36745871476648,Composite,413,Rural,9106,555,0.46138659597385,E,8525,3826,15010,4,Difficult,Moderate
386896,6017,Silty,Infrastructure,94.83464258337935,Steel,217,Mountain,43290,715,0.4749608232652146,D,10816,4240,6073,4,Moderate,Moderate
58984,9719,Clay,Residential,73.55442908114742,Composite,407,Urban,36577,691,0.1390771829619557,A,19027,3914,23493,3,Moderate,Moderate
312918,6810,Loamy,Residential,33.570976204006655,Concrete,3,Urban,14901,217,0.5315347368026463,A,15978,3691,9232,1,Easy,Moderate
274712,4039,Silty,Residential,55.35296359672829,Steel,30,Mountain,33338,519,0.04802747619275449,E,19173,4987,12353,1,Difficult,Complex
130151,3983,Loamy,Infrastructure,52.00055371467805,Wood,465,Coastal,48257,114,0.9386463905517113,C,11782,3242,10130,2,Moderate,Moderate
465808,7871,Chalky,Commercial,81.55473461905274,Steel,255,Rural,28365,415,0.7142180744142123,D,14913,1916,7541,1,Moderate,Simple
995067,2741,Peaty,Residential,85.00196026865822,Composite,45,Suburban,26696,149,0.009458428511014638,C,14856,4052,5508,1,Difficult,Moderate
143767,6878,Clay,Commercial,35.50985404675529,Brick,177,Rural,32917,354,0.28883165114490483,E,1859,4020,23770,6,Difficult,Complex
658663,3265,Silty,Industrial,83.90363085156127,Wood,222,Mountain,42611,172,0.9827215822713216,E,9048,4065,18916,5,Easy,Complex
713550,9865,Clay,Industrial,26.15512647619013,Composite,113,Coastal,38980,335,0.04845682065178025,E,571,4546,12464,5,Moderate,Moderate
146330,5411,Chalky,Industrial,78.64934990839258,Brick,122,Coastal,22131,503,0.14672541198161138,A,6992,226,20236,1,Difficult,Complex
490754,903,Loamy,Infrastructure,32.39060894212247,Wood,275,Mountain,43012,55,0.47711481021219737,A,18342,4077,17891,3,Easy,Complex
311648,3882,Peaty,Infrastructure,36.81380416719663,Brick,448,Rural,10064,666,0.3534493447374061,C,1957,4442,8281,7,Moderate,Moderate
698519,4663,Clay,Residential,86.72210561700945,Concrete,389,Urban,26660,271,0.9852311879293585,B,7179,3278,3041,6,Difficult,Simple
23986,8130,Loamy,Industrial,47.80673785506673,Concrete,232,Rural,11280,371,0.5395919523580283,A,2802,4629,3197,6,Difficult,Moderate
596146,587,Chalky,Commercial,99.15092423706665,Steel,312,Coastal,29141,304,0.941196181979977,D,13565,3413,2623,8,Moderate,Complex
139312,9850,Chalky,Infrastructure,23.6748726916697,Steel,418,Coastal,24187,578,0.376820676889819,D,17592,4891,23754,5,Easy,Simple
22666,6316,Chalky,Commercial,51.70141342357151,Steel,249,Mountain,6933,250,0.2720916345699611,D,11296,1636,6240,2,Easy,Simple
310804,5970,Loamy,Commercial,75.92052978180426,Steel,329,Rural,36574,157,0.2884204523709336,E,12969,2253,23307,4,Difficult,Simple
144633,6776,Silty,Residential,10.48303521806567,Brick,103,Urban,43653,648,0.6365987486944982,C,14559,1427,2246,3,Difficult,Simple
298998,6239,Sandy,Residential,23.666975037371564,Wood,176,Rural,29636,461,0.6040140196605118,E,11365,4093,16502,2,Easy,Complex
860937,4773,Clay,Commercial,11.832107446988228,Wood,236,Coastal,27918,702,0.5536011521068437,D,1790,4925,11428,8,Difficult,Complex
638776,7023,Sandy,Commercial,99.35900788444783,Steel,282,Rural,13270,492,0.1890702837912217,D,18000,1821,19822,4,Difficult,Moderate
717611,5503,Chalky,Commercial,78.45621961793235,Concrete,245,Coastal,33501,285,0.26344587454504176,E,6741,2421,2131,5,Moderate,Simple
294806,8538,Sandy,Commercial,43.620318797194024,Composite,133,Coastal,14607,271,0.28911666123639623,D,4405,2854,11409,9,Easy,Moderate
804824,7106,Loamy,Industrial,24.065644122709816,Steel,344,Suburban,6298,149,0.8662345527376019,D,5344,2047,11977,9,Difficult,Simple
40535,2564,Chalky,Commercial,18.13449185231056,Steel,159,Urban,27881,35,0.8173333711811696,C,1436,2996,16384,6,Easy,Moderate
385713,5815,Chalky,Infrastructure,57.87164804958207,Concrete,280,Mountain,28353,663,0.20502665011600008,D,6435,262,13152,9,Moderate,Simple
848688,817,Peaty,Residential,97.8302186379279,Composite,341,Urban,4378,686,0.1464259235787193,E,3740,3580,21229,1,Easy,Simple
361279,2002,Peaty,Infrastructure,70.71498501919876,Brick,22,Rural,32863,533,0.10214008412745201,E,10952,4764,12267,5,Easy,Moderate
923910,6630,Loamy,Residential,42.862453143285656,Brick,102,Suburban,26863,521,0.06763797290024154,B,15229,4537,11622,7,Difficult,Complex
831654,7919,Loamy,Residential,55.076587591373944,Composite,150,Coastal,44294,621,0.9846202023925147,D,4904,4405,17614,7,Easy,Complex
611661,2542,Sandy,Residential,99.90130311455067,Composite,469,Urban,27150,140,0.8112936926672554,B,3680,4078,2549,2,Moderate,Complex
657972,5098,Clay,Infrastructure,56.68896059960054,Brick,57,Coastal,43171,297,0.016928071481764895,E,17470,3933,17162,9,Moderate,Moderate
499570,618,Sandy,Residential,96.77813371987202,Steel,158,Coastal,44249,425,0.006625550976629646,B,15663,2716,6452,1,Easy,Moderate
466551,1209,Loamy,Commercial,11.47255469360434,Steel,369,Suburban,35386,592,0.6899196544457629,D,577,3598,4321,9,Moderate,Simple
283109,4057,Clay,Commercial,74.88668154107553,Concrete,303,Urban,9847,77,0.3112729883457327,A,14392,1810,18530,1,Easy,Moderate
34538,3750,Sandy,Industrial,66.44453042918049,Composite,458,Suburban,44286,708,0.09895220014115025,C,17395,397,12889,3,Moderate,Simple
904498,8561,Silty,Industrial,71.67968726115895,Steel,195,Coastal,34162,519,0.4640161646208508,D,14885,1511,12425,1,Difficult,Complex
211664,9109,Silty,Industrial,61.35103803317075,Steel,167,Urban,34239,134,0.018837936826281987,B,3683,508,17537,6,Moderate,Complex
501234,3103,Clay,Commercial,13.975909861749026,Concrete,477,Coastal,31072,99,0.4248804589146925,B,18445,2949,13010,6,Easy,Simple
909684,1601,Peaty,Infrastructure,23.460754194264332,Composite,345,Coastal,10909,660,0.23757784278218375,B,11289,1691,12238,2,Difficult,Simple
149182,4921,Clay,Industrial,93.00261433016931,Concrete,194,Urban,47025,390,0.2648767203790937,E,18463,168,9503,3,Difficult,Simple
482525,8357,Sandy,Commercial,30.963250753040494,Concrete,461,Mountain,14636,30,0.28623103029877106,D,5461,3724,7595,7,Difficult,Complex
168338,8677,Chalky,Residential,99.36435423942476,Brick,347,Suburban,5152,604,0.30770327299212497,B,15364,3844,11107,8,Moderate,Simple
194064,6582,Silty,Infrastructure,71.16296359551552,Concrete,413,Rural,32897,88,0.02004233770041286,A,1895,3425,15583,7,Difficult,Simple
224020,7158,Chalky,Infrastructure,49.99190411135661,Composite,398,Coastal,16963,75,0.5702051733205572,D,10215,2703,2410,8,Easy,Moderate
633094,2761,Silty,Commercial,92.8043970792436,Steel,260,Suburban,26039,109,0.5478900484568614,E,8343,2239,8303,4,Moderate,Simple
934414,8521,Sandy,Commercial,81.548757065571,Steel,200,Suburban,17985,452,0.6508071304445529,D,1236,3663,6035,9,Difficult,Moderate
907421,1008,Silty,Residential,48.606857162641184,Brick,5,Urban,38379,506,0.15991580309652165,E,2130,3255,20289,1,Difficult,Complex
625270,2879,Clay,Residential,16.173367504062046,Composite,300,Urban,36548,591,0.9948175328460255,E,13829,941,12517,6,Moderate,Moderate
655914,9379,Chalky,Residential,88.14741170810507,Steel,91,Urban,24183,334,0.13582373980593143,C,17151,257,9836,4,Difficult,Simple
129176,5252,Loamy,Infrastructure,78.8535938222507,Concrete,24,Suburban,30375,439,0.8115557611652796,C,19326,2762,7329,1,Easy,Complex
927710,9984,Chalky,Infrastructure,81.16613535616432,Wood,236,Urban,30578,446,0.22036038005071656,A,4850,4290,23485,9,Moderate,Simple
228126,5995,Sandy,Industrial,77.0372859453,Wood,235,Rural,19857,392,0.4390366133484187,B,10509,3181,18357,1,Easy,Moderate
228969,3709,Loamy,Industrial,34.81790404402746,Wood,226,Suburban,8406,305,0.3242023106426789,D,8860,1848,8422,4,Difficult,Simple
132409,7898,Chalky,Industrial,87.29611477024038,Wood,28,Urban,31036,258,0.30770950810441533,B,13651,3384,23722,7,Difficult,Simple
557707,7243,Sandy,Infrastructure,10.200929782969787,Concrete,152,Coastal,41998,404,0.4865123087808556,D,6090,1294,8916,3,Moderate,Complex
978140,6148,Peaty,Residential,31.35486505453774,Steel,384,Suburban,21212,362,0.239627978103918,A,868,2370,3141,3,Difficult,Moderate
263618,5671,Clay,Industrial,14.190363894177612,Brick,246,Mountain,46998,613,0.5468561087689784,A,10872,1534,1019,9,Difficult,Complex
779598,8390,Silty,Residential,19.953681100206403,Concrete,5,Mountain,25213,509,0.2506821933318629,D,10705,960,2312,2,Easy,Moderate
60015,824,Silty,Residential,57.91412237657549,Steel,13,Suburban,9221,495,0.9729173649245915,E,15031,2097,8628,8,Difficult,Moderate
782838,4057,Silty,Residential,13.353057094693098,Composite,466,Suburban,24965,710,0.23941040519001144,C,1913,1134,22137,6,Moderate,Complex
132096,4087,Peaty,Industrial,26.32429429303416,Steel,55,Mountain,3208,411,0.7646221882253029,D,11785,426,9778,8,Moderate,Complex
641347,651,Clay,Industrial,30.946613265174495,Steel,465,Coastal,34383,296,0.46971718710637644,E,14413,2718,10625,8,Moderate,Moderate
195340,1454,Chalky,Residential,68.98049246234996,Steel,286,Coastal,39557,596,0.037918938482738196,D,7184,4278,6209,1,Difficult,Complex
120687,4854,Chalky,Industrial,52.19384720034087,Concrete,102,Coastal,27932,259,0.15270344791900836,D,5560,914,3818,5,Easy,Complex
